title,task_type,task_type_numeric,priority,priority_numeric,story_points,word_count,actual_days
Database Backup Automation,backend,0,High,4,5,3,4.0
Implement database migration script,backend,0,High,4,8,4,5.2
Implement mobile responsive layouts,frontend,1,Medium,3,5,4,8.1
Update project README,general,4,Highest,5,3,3,2.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Create reusable button components,frontend,1,High,4,5,4,6.8
Sprint planning and task estimation,general,4,Low,2,13,5,6.5
Update monitoring and logging,general,4,High,4,3,4,0.8
Build REST API for user authentication,backend,0,High,4,8,6,6.9
Create JWT token validation service,backend,0,High,4,13,5,12.9
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Implement review and cleanup,general,4,Highest,5,1,4,1.4
Implement reusable button components,frontend,1,Highest,5,8,4,9.0
Refactor legacy code modules,general,4,High,4,13,4,3.4
Create JWT token validation service,backend,0,High,4,8,5,11.6
Build AI suggestions page component,frontend,1,Medium,3,8,5,4.4
Document API endpoints,general,4,Low,2,5,3,1.2
Configure development environment,general,4,Low,2,5,3,4.0
Add monitoring and logging,general,4,Medium,3,3,4,2.0
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Add drag and drop interface,frontend,1,Medium,3,1,5,1.4
Build knowledge transfer session,general,4,Highest,5,3,4,2.4
Fix project README,general,4,Highest,5,1,3,2.3
API integration with third-party service,backend,0,Medium,3,2,5,3.6
Build planning and task estimation,general,4,High,4,13,5,7.3
Design homepage UI redesign,frontend,1,Highest,5,13,4,4.0
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Update risk scoring calculation engine,backend,0,High,4,1,5,4.5
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Implement Redis caching layer,backend,0,Medium,3,13,4,11.9
Fix service for file uploads,backend,0,Medium,3,13,5,6.0
Setup project repository and structure,general,4,Low,2,3,5,2.5
API integration with third-party service,backend,0,Medium,3,1,5,2.7
Configure development environment,general,4,High,4,2,3,3.2
Create reusable button components,frontend,1,Highest,5,3,4,4.1
Implement test for API endpoints,testing,2,Highest,5,8,5,1.4
Code review and cleanup,general,4,High,4,3,4,5.1
Refactor legacy code modules,general,4,Medium,3,1,4,1.4
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Add test suite for frontend components,testing,2,Highest,5,1,6,0.8
Setup monitoring and logging,general,4,Lowest,1,3,4,4.3
Setup login form with validation,frontend,1,Lowest,1,13,5,6.0
Integration test for API endpoints,testing,2,Lowest,1,3,5,3.1
Document API endpoints,general,4,Medium,3,8,3,5.7
End to end system testing,testing,2,Highest,5,2,5,3.1
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
